rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
6,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,GEOGHEGAN HART Tao,22018,0,16,2023-02-19,Paul
7,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,CARUSO Damiano,6177,0,14,2023-02-19,Jan
8,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,ROTA Lorenzo,21958,0,12,2023-02-19,Paul
9,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,KRON Andreas Lorentz,26420,0,10,2023-02-19,Paul
10,2.PS,"Vuelta a Andalucia / Ruta Del Sol, General classification",40995,SIVAKOV Pavel,24934,0,8,2023-02-19,Paul
1,2.PSs,"Volta ao Algarve, Stage 5 : Lagoa - Lagoa I.T.T.",40988,KÜNG Stefan,20960,0.3,0,2023-02-19,PB
1,2.PSs,"Vuelta a Andalucia / Ruta Del Sol, Stage 5 : Otura - Alhaurin de la Torre",40994,FRAILE MATARRANZ Omar,19335,0.3,0,2023-02-19,Arjan
1,2.1,"Tour des Alpes-Maritimes et du Var, General classification",40999,VAUQUELIN Kévin,31264,2,0,2023-02-19,Albert
2,2.1,"Tour des Alpes-Maritimes et du Var, General classification",40999,PARET-PEINTRE Aurélien,24110,0.3,0,2023-02-19,Nicky
3,2.1,"Tour des Alpes-Maritimes et du Var, General classification",40999,POWLESS Neilson,24902,0.1,0,2023-02-19,Harry
1,2.1s,"Tour des Alpes-Maritimes et du Var, Stage 3 : Villefranche-sur-Mer - Vence",40998,PARET-PEINTRE Aurélien,24110,0.2,0,2023-02-19,Nicky
1,2.1s,"Tour du Rwanda, Stage 1 : Kigali - Rwamagana (prov.)",41000,VERNON Ethan,30035,0.2,0,2023-02-19,Arjan
1,NC5,National Championships Pakistan (Peshawar) R.R. (prov.),40930,KHAN Naimat Ullah,34978,1,0,2023-02-19,-
1,2.PSs,"Volta ao Algarve, Stage 4 : Albufeira - Malhao",40987,PIDCOCK Thomas,27708,0.3,0,2023-02-18,Albert
1,2.PSs,"Vuelta a Andalucia / Ruta Del Sol, Stage 4 : Olvera - Iznajar",40993,POGACAR Tadej,26526,0.3,0,2023-02-18,Kees
1,2.1s,"Tour des Alpes-Maritimes et du Var, Stage 2 : Mandelieu - Antibes",40997,SKJELMOSE JENSEN Mattias,30166,0.2,0,2023-02-18,Kaspar
1,2.PSs,"Volta ao Algarve, Stage 3 : Faro - Tavira",40986,CORT NIELSEN Magnus,19448,0.3,0,2023-02-17,Vel
1,2.PSs,"Vuelta a Andalucia / Ruta Del Sol, Stage 3 : Alcala de Guadaira - Alcala de los Gazules",40992,WELLENS Tim,16722,0.3,0,2023-02-17,Albert
1,2.1s,"Tour des Alpes-Maritimes et du Var, Stage 1 : Saint Raphaël - Ramatuelle",40996,VAUQUELIN Kévin,31264,0.2,0,2023-02-17,Albert
1,NCT5,National Championships Pakistan (Peshawar) I.T.T.,40929,ALI Shahwali,30608,0.5,0,2023-02-17,-
1,2.PSs,"Vuelta a Andalucia / Ruta Del Sol, Stage 2 : Diezma - Alcala la Real",40991,POGACAR Tadej,26526,0.3,0,2023-02-16,Kees
1,2.PSs,"Volta ao Algarve, Stage 2 : Sagres - Foia",40985,CORT NIELSEN Magnus,19448,0.3,0,2023-02-16,Vel
1,2.PS,"Tour of Oman, General classification",40983,JORGENSON Matteo,28057,4,50,2023-02-15,Albert
2,2.PS,"Tour of Oman, General classification",40983,VANSEVENANT Mauri,28580,1,35,2023-02-15,Wijnand
3,2.PS,"Tour of Oman, General classification",40983,BOUCHARD Geoffrey,28569,0.5,25,2023-02-15,-
4,2.PS,"Tour of Oman, General classification",40983,TAARAMÄE Rein,1646,0,20,2023-02-15,-
5,2.PS,"Tour of Oman, General classification",40983,ULISSI Diego,10023,0,18,2023-02-15,Paul
6,2.PS,"Tour of Oman, General classification",40983,VAN GILS Maxim,28521,0,16,2023-02-15,-
7,2.PS,"Tour of Oman, General classification",40983,HERRADA LOPEZ Jesus,17534,0,14,2023-02-15,Paul
8,2.PS,"Tour of Oman, General classification",40983,RODRIGUEZ MARTIN Cristian,24102,0,12,2023-02-15,-
9,2.PS,"Tour of Oman, General classification",40983,UIJTDEBROEKS Cian,31803,0,10,2023-02-15,Vel
10,2.PS,"Tour of Oman, General classification",40983,VERONA QUINTANILLA Carlos,17994,0,8,2023-02-15,-
1,2.PSs,"Volta ao Algarve, Stage 1 : Portimao - Lagos",40984,KRISTOFF Alexander,4179,0.3,0,2023-02-15,Nicky
1,2.PSs,"Vuelta a Andalucia / Ruta Del Sol, Stage 1 : Puente de Genave - Santiago de la Espada",40990,POGACAR Tadej,26526,0.3,0,2023-02-15,Kees
1,2.PSs,"Tour of Oman, Stage 5 : Samail - Jabal Al Akhdar",40981,VANSEVENANT Mauri,28580,0.3,0,2023-02-15,Wijnand
1,2.PSs,"Tour of Oman, Stage 4 : Izki - Yitti Hills",40980,ULISSI Diego,10023,0.3,0,2023-02-14,Paul
1,2.PSs,"Tour of Oman, Stage 3 : Al Khobar - Jabal Haat",40979,JORGENSON Matteo,28057,0.3,0,2023-02-13,Albert
1,1.1,Jaén Paraíso Interior,40941,POGACAR Tadej,26526,2,0,2023-02-13,Kees
2,1.1,Jaén Paraíso Interior,40941,TURNER Ben,27923,0.3,0,2023-02-13,Arjan
3,1.1,Jaén Paraíso Interior,40941,WELLENS Tim,16722,0.1,0,2023-02-13,Albert
1,CC2,African Cycling Championships (Accra) R.R.,41029,MULUBRHAN Henok,28186,1,0,2023-02-13,-
2,CC2,African Cycling Championships (Accra) R.R.,41029,HAMZA Yacine,25483,0.0,0,2023-02-13,-
3,CC2,African Cycling Championships (Accra) R.R.,41029,ED DOGHMY Achraf,30073,0.0,0,2023-02-13,-
