rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,2.1s,"Tour de Slovaquie, Stage 5 : Liptovsky Mikulas - Strbske Pleso",43265,ENGELHARDT Felix,29297,0.2,0,2024-06-30,Paul
1,NC5,National Championships Greece (Kampanis-Nea Filadelfeia) R.R.,43085,ARVANITOU Nikiforos,33118,0.0,0,2024-06-30,-
1,NC5,National Championships Morocco (Ifrane) R.R.,43075,SABBAHI El Houcaine,27176,0.0,0,2024-06-30,-
1,NCT5,National Championships Ethiopia (Addis Ababa) R.R. (prov.),43595,ABREHA Negasi Haylu,29240,0.0,0,2024-06-30,-
1,NC5,National Championships Moldova (Ialoveni) R.R. (prov.),43593,SOBENNICOV Andrei,26124,0.0,0,2024-06-30,-
1,NC5,National Championships Guyana (Linden) R.R.,43590,JOHN Briton,28783,0.0,0,2024-06-30,-
1,NC5,National Championships Saint Lucia (Castries) R.R.,43585,JOSEPH Eltus,36850,0.0,0,2024-06-30,-
1,NC5,National Championships Honduras (Lamani) R.R.,43159,MARTINEZ AMADOR Diler Javier,30602,0.0,0,2024-06-30,-
1,NC5,National Championships Belize (Silk Grass - San Ignacio) R.R.,43157,WILLIAMS Cory,23727,0.0,0,2024-06-30,-
1,NC5,National Championships El Salvador (Plaza Integracion) R.R.,43141,HURTADO SEGOVIA Josue Oswaldo,35091,0.0,0,2024-06-30,-
1,NC5,National Championships Peru (Arequipe) R.R.,43133,TOSCANO FERNANDEZ Bill Janz,31748,0.0,0,2024-06-30,-
1,NC5,National Championships Trinidad and Tobago (Couva) R.R.,43299,CAMPBELL Akil,24828,0.0,0,2024-06-30,-
1,NC5,National Championships Lebanon () R.R.,43151,ISKANDAR Georges,34137,0.0,0,2024-06-30,-
1,NC5,National Championships Montenegro (Danilovgrad) R.R.,43586,RADUNOVIC Aleksandar,30657,0.0,0,2024-06-30,-
1,NC5,National Championships Brazil (Palmas) R.R.,43114,SILVA Roberto Pinheiro,1947,0.0,0,2024-06-30,-
