rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
2,2.PS,"Deutschland Tour, General classification",43526,VAN POPPEL Danny,19242,0.0,0,2024-08-25
3,2.PS,"Deutschland Tour, General classification",43526,JOHANNESSEN Tobias Halland,31567,0.0,0,2024-08-25
4,2.PS,"Deutschland Tour, General classification",43526,LAMPERTI Luke,31833,0.0,0,2024-08-25
5,2.PS,"Deutschland Tour, General classification",43526,RYAN Archie,30565,0.0,0,2024-08-25
6,2.PS,"Deutschland Tour, General classification",43526,STORK Florian,25087,0.0,0,2024-08-25
7,2.PS,"Deutschland Tour, General classification",43526,NORDHAGEN Jørgen,35592,0.0,0,2024-08-25
8,2.PS,"Deutschland Tour, General classification",43526,CHRISTEN Fabio,31719,0.0,0,2024-08-25
9,2.PS,"Deutschland Tour, General classification",43526,GELDERS Gil,31556,0.0,0,2024-08-25
10,2.PS,"Deutschland Tour, General classification",43526,VERMAERKE Kevin,29332,0.0,0,2024-08-25
1,2.PSs,"Deutschland Tour, Stage 4 : Annweiler am Trifels - Saarbrücken",43525,PEDERSEN Mads,21992,0.0,0,2024-08-25
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 8 : Ubeda - Cazorla (prov.)",43484,O'Connor Ben,23763,0.0,0,2024-08-24
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 8 : Ubeda - Cazorla (prov.)",43484,Tiberi Antonio,30649,0.0,0,2024-08-24
-2,GT2s,"Puntentrui na Vuelta a España , Stage 8 : Ubeda - Cazorla (prov.)",43484,van Aert Wout,20730,0.0,0,2024-08-24
-3,GT2s,"Bergtrui na Vuelta a España , Stage 8 : Ubeda - Cazorla (prov.)",43484,Roglic Primoz,20719,0.0,0,2024-08-24
1,GT2s,"Vuelta a España , Stage 8 : Ubeda - Cazorla (prov.)",43484,ROGLIC Primoz,20719,0.0,0,2024-08-24
1,2.PSs,"Deutschland Tour, Stage 3 : Schwäbisch Gmünd - Villingen-Schwenningen",43524,MILAN Jonathan,29359,0.0,0,2024-08-24
1,2.NC,"Tour de l'Avenir, General classification",43510,BLACKMORE Joseph,34973,0.0,0,2024-08-24
2,2.NC,"Tour de l'Avenir, General classification",43510,TORRES ARIAS Pablo,35894,0.0,0,2024-08-24
3,2.NC,"Tour de l'Avenir, General classification",43510,GRAAT Tijmen,32787,0.0,0,2024-08-24
4,2.NC,"Tour de l'Avenir, General classification",43510,BISIAUX Léo,35822,0.0,0,2024-08-24
5,2.NC,"Tour de l'Avenir, General classification",43510,KAJAMINI Florian Samuel,33132,0.0,0,2024-08-24
6,2.NC,"Tour de l'Avenir, General classification",43510,DALBY Simon,32795,0.0,0,2024-08-24
7,2.NC,"Tour de l'Avenir, General classification",43510,PESCADOR CASTRO Diego Fernando,34588,0.0,0,2024-08-24
8,2.NC,"Tour de l'Avenir, General classification",43510,ROLLAND Brieuc,33756,0.0,0,2024-08-24
9,2.NC,"Tour de l'Avenir, General classification",43510,WENZEL Mats,31859,0.0,0,2024-08-24
10,2.NC,"Tour de l'Avenir, General classification",43510,SCALCO Matteo,34207,0.0,0,2024-08-24
1,2.NCs,"Tour de l'Avenir, Stage 6 : Bobbio Pellice - Colle delle Finestre",43507,TORRES ARIAS Pablo,35894,0.0,0,2024-08-24
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 7 : Archidona - Cordoba (prov.)",43483,O'Connor Ben,23763,0.0,0,2024-08-23
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 7 : Archidona - Cordoba (prov.)",43483,Tiberi Antonio,30649,0.0,0,2024-08-23
-2,GT2s,"Puntentrui na Vuelta a España , Stage 7 : Archidona - Cordoba (prov.)",43483,van Aert Wout,20730,0.0,0,2024-08-23
-3,GT2s,"Bergtrui na Vuelta a España , Stage 7 : Archidona - Cordoba (prov.)",43483,Moniquet Sylvain,26331,0.0,0,2024-08-23
1,GT2s,"Vuelta a España , Stage 7 : Archidona - Cordoba (prov.)",43483,VAN AERT Wout,20730,0.0,0,2024-08-23
1,2.PSs,"Deutschland Tour, Stage 2 : Heilbronn - Schwäbisch Gmünd (prov.)",43523,PEDERSEN Mads,21992,0.0,0,2024-08-23
1,2.1,"Tour Poitou-Charentes en Nouvelle Aquitaine, General classification",43516,WAERENSKJOLD Søren,29187,0.0,0,2024-08-23
2,2.1,"Tour Poitou-Charentes en Nouvelle Aquitaine, General classification",43516,DVERSNES Fredrik,28553,0.0,0,2024-08-23
3,2.1,"Tour Poitou-Charentes en Nouvelle Aquitaine, General classification",43516,LEROUX Samuel,22909,0.0,0,2024-08-23
1,1.1,Druivenkoers - Overijse,43335,KRIJNSEN Jelte,32717,0.0,0,2024-08-23
2,1.1,Druivenkoers - Overijse,43335,LOUVEL Matis,29982,0.0,0,2024-08-23
3,1.1,Druivenkoers - Overijse,43335,BIERMANS Jenthe,22010,0.0,0,2024-08-23
1,2.1s,"Tour Poitou-Charentes en Nouvelle Aquitaine, Stage 4 : Fontaine-le-Comte - Poitiers",43514,DEMARE Arnaud,16653,0.0,0,2024-08-23
1,2.NCs,"Tour de l'Avenir, Stage 5 : Les Karellis - Condove",43506,KAJAMINI Florian Samuel,33132,0.0,0,2024-08-23
1,GT2r,"Vuelta a España , Stage 6 : Jerez de la Frontera - Yunquera (prov.)",43482,O'CONNOR Ben,23763,0.0,0,2024-08-22
1,2.PSs,"Deutschland Tour, Stage 1 : Schweinfurt - Heilbronn (prov.)",43522,MILAN Jonathan,29359,0.0,0,2024-08-22
1,2.1s,"Tour Poitou-Charentes en Nouvelle Aquitaine, Stage 3 : Ménigoute - Fontaine-le-Comte I.T.T.",43513,WAERENSKJOLD Søren,29187,0.0,0,2024-08-22
1,2.NCs,"Tour de l'Avenir, Stage 4 : La Rosière - Les Karellis (prov.)",43505,TORRES ARIAS Pablo,35894,0.0,0,2024-08-22
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 5 : Fuente del Maestre - Sevilla (prov.)",43481,Roglic Primoz,20719,0.0,0,2024-08-21
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 5 : Fuente del Maestre - Sevilla (prov.)",43481,Tiberi Antonio,30649,0.0,0,2024-08-21
-2,GT2s,"Puntentrui na Vuelta a España , Stage 5 : Fuente del Maestre - Sevilla (prov.)",43481,van Aert Wout,20730,0.0,0,2024-08-21
-3,GT2s,"Bergtrui na Vuelta a España , Stage 5 : Fuente del Maestre - Sevilla (prov.)",43481,Moniquet Sylvain,26331,0.0,0,2024-08-21
1,GT2s,"Vuelta a España , Stage 5 : Fuente del Maestre - Sevilla (prov.)",43481,BITTNER Pavel,31555,0.0,0,2024-08-21
1,2.PSs,"Deutschland Tour, Prologue : Schweinfurt I.T.T. (prov.)",43521,MILAN Jonathan,29359,0.0,0,2024-08-21
1,2.1s,"Tour Poitou-Charentes en Nouvelle Aquitaine, Stage 2 : Gensac-la-Pallue - Niort",43512,FRETIN Milan,32617,0.0,0,2024-08-21
1,2.NCs,"Tour de l'Avenir, Stage 3 : Peisey-Vallandry - La Rosière (prov.)",43504,BLACKMORE Joseph,34973,0.0,0,2024-08-21
-4,GT2s,"Leiderstrui na Vuelta a España , Stage 4 : Plasencia - Pico Villuercas (prov.)",43480,Roglic Primoz,20719,0.0,0,2024-08-20
-1,GT2s,"Jongerentrui na Vuelta a España , Stage 4 : Plasencia - Pico Villuercas (prov.)",43480,Tiberi Antonio,30649,0.0,0,2024-08-20
-2,GT2s,"Puntentrui na Vuelta a España , Stage 4 : Plasencia - Pico Villuercas (prov.)",43480,van Aert Wout,20730,0.0,0,2024-08-20
-3,GT2s,"Bergtrui na Vuelta a España , Stage 4 : Plasencia - Pico Villuercas (prov.)",43480,Moniquet Sylvain,26331,0.0,0,2024-08-20
